style_name,icon_name,icon_size,icon_color,icon_transparency,label_size,line_color,line_width,line_transparency,area_color,area_transparency
style_SolarPlant,style_SolarPlant,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_HeritageArea,style_HeritageArea,0.6,FFB583,0.8,0,83B5FF,1,100,83B5FF,40
style_IUCN,style_IUCN,0.6,CCED9F,0.8,0,9FEDCC,1,100,9FEDCC,40
style_NationalPark,style_NationalPark,0.6,CCED9F,0.8,0,9FEDCC,1,100,9FEDCC,40
style_ProtectedAreas,style_ProtectedAreas,0.6,CCED9F,0.8,0,9FEDCC,1,100,9FEDCC,40
style_ProtectedForest,style_ProtectedForest,0.6,CCED9F,0.8,0,9FEDCC,1,100,9FEDCC,40
style_ReligiousBuildings,style_ReligiousBuildings,0.6,FFB583,0.8,0,83B5FF,1,100,83B5FF,40
style_SpeciesData,style_SpeciesData,0.6,DACAFC,0.8,0,FCCADA,1,100,FCCADA,40
style_Tourist,style_Tourist,0.6,FFB583,0.8,0,83B5FF,1,100,83B5FF,40
style_Airports,style_Airports,0.6,CACBCC,0.8,0,CCCBCA,1,100,CCCBCA,40
style_Highways,style_Highways,0.6,FFE566,0.8,0,66E5FF,1,100,66E5FF,40
style_PrimaryRoads,style_PrimaryRoads,0.6,FFE566,0.8,0,66E5FF,1,100,66E5FF,40
style_Railways,style_Railways,0.6,CACBCC,0.8,0,CCCBCA,1,100,CCCBCA,40
style_Roads,style_Roads,0.6,FFE566,0.8,0,66E5FF,0.5,100,66E5FF,40
style_SecondaryRoads,style_SecondaryRoads,0.6,FFE566,0.8,0,66E5FF,1,100,66E5FF,40
style_Tracks,style_Tracks,0.6,FFE566,0.8,0,66E5FF,1,100,66E5FF,40
style_Heliport,style_Heliport,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_Bridge,style_Bridge,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
style_MountainPeak,style_MountainPeak,0.6,FFFFFF,0.8,0,FFFFFF,1,100,FFFFFF,40
